date,sentiment_index
2022-07-01,-0.13670031551972683
2022-07-02,0.29180506015711405
2022-07-03,0.42790565156437177
2022-07-04,0.009254042521443646
2022-07-05,0.04574518812331438
2022-07-06,0.008528385474134268
2022-07-07,0.030878950828103654
2022-07-08,0.002508994537181735
2022-07-09,0.24437922781809773
2022-07-10,0.1335655495735088
2022-07-11,-0.06536513727582655
2022-07-12,-0.02185374388327192
2022-07-13,-0.00391511474671616
2022-07-14,0.012882332568919271
2022-07-15,-0.00036882070768967656
2022-07-16,-0.06631251876680577
2022-07-17,0.36244670433631143
2022-07-18,-0.042577672529542296
2022-07-19,0.0198988715020422
2022-07-20,0.006588115071638959
2022-07-21,-0.024604154152238402
2022-07-22,0.005012592004554454
2022-07-23,0.2208114111039775
2022-07-24,0.6483152265546286
2022-07-25,0.017080393883517557
2022-07-26,-0.0540967802110829
2022-07-27,0.024476722698611206
2022-07-28,0.05477681833406631
2022-07-29,0.007496592416636649
2022-07-30,0.18226461603696462
2022-07-31,0.6950297245609791
2022-08-01,-0.00020430633228701173
2022-08-02,0.10001784314739856
2022-08-03,-0.020601820455696113
2022-08-04,0.0062580027019177985
2022-08-05,0.016343214731308373
2022-08-06,0.2425137802494281
2022-08-07,0.21145652621397376
2022-08-08,0.02186974434899078
2022-08-09,0.04419659922387666
2022-08-10,-0.05096424989879328
2022-08-11,-0.013935997265580416
2022-08-12,-0.00029186759191308746
2022-08-13,-0.15258314985152416
2022-08-14,0.2283288649551958
2022-08-15,-0.002673759271645348
2022-08-16,-0.05703872385670009
2022-08-17,-0.0680612487884118
2022-08-18,-0.03605298007497015
2022-08-19,-0.0059357999713386895
2022-08-20,-0.05613315897208947
2022-08-21,0.7109374504627437
2022-08-22,-0.026801147091697498
2022-08-23,0.013780756421264938
2022-08-24,-0.01039655902891903
2022-08-25,0.01571567833878853
2022-08-26,0.002858548963644028
2022-08-27,-0.20171432972547262
2022-08-28,0.3410601077919116
2022-08-29,0.03285970430047153
2022-08-30,0.024935532757887992
2022-08-31,0.09958618488908677
2022-09-01,-0.03238892075002118
2022-09-02,0.03068487515977454
2022-09-03,0.6015121223720431
2022-09-04,0.874773495722708
2022-09-05,0.014436909045656424
2022-09-06,-0.04023461843299089
2022-09-07,-0.011968937173816323
2022-09-08,-0.016294881767276538
2022-09-09,-0.024247414680815444
2022-09-10,-0.036941420854601906
2022-09-11,0.38130562834956955
2022-09-12,0.5939547140225035
2022-09-13,-0.07439330907979473
2022-09-14,0.03583422300135302
2022-09-15,-0.0015451276097142377
2022-09-16,-0.006005579557085916
2022-09-17,0.08702263764153123
2022-09-18,0.54136583543879
2022-09-19,0.03422198494457804
2022-09-20,0.018010636663088893
2022-09-21,0.02097009093522397
2022-09-22,-0.0291828711013866
2022-09-23,-0.025208169797061048
2022-09-24,-0.265841898109192
2022-09-25,0.2677984928432273
2022-09-26,-0.02421800722868824
2022-09-27,-0.040320235299486466
2022-09-28,0.0008519111603915372
2022-09-29,0.0221367320866663
2022-09-30,-0.014679638207005134
2022-10-01,0.028842913921742513
2022-10-02,-0.2939088723462766
2022-10-03,-0.22935839458157467
2022-10-04,-0.1714494485192978
2022-10-05,0.16735857897245793
2022-10-06,0.22860025059758077
2022-10-07,-0.039556803645288074
2022-10-08,-0.24514111512848707
2022-10-09,0.49484420442571075
2022-10-10,0.0029529010580671535
2022-10-11,-0.03946569584186082
2022-10-12,0.009774946709385925
2022-10-13,-0.01949295435375328
2022-10-14,0.06769135140341143
2022-10-15,-0.31694918865003396
2022-10-16,0.6615165443486364
2022-10-17,-0.06073369893234583
2022-10-18,-0.03527826065254136
2022-10-19,-0.06491474119334943
2022-10-20,0.0029236393439973224
2022-10-21,0.013087168547144989
2022-10-22,0.3538840855300713
2022-10-23,0.6878829690310563
2022-10-24,-0.03716602560262468
2022-10-25,-0.042324465871855156
2022-10-26,0.03441540844438805
2022-10-27,-0.002043570453561534
2022-10-28,0.028332336736500246
2022-10-29,0.10694111282484334
2022-10-30,0.15432344910720558
2022-10-31,0.029187028113780874
2022-11-01,0.03829914988738329
2022-11-02,0.030020878255751917
2022-11-03,0.020258679506011536
2022-11-04,0.014872387774338094
2022-11-05,0.302285433197342
2022-11-06,0.7751007983939467
2022-11-07,0.007430656785638122
2022-11-08,-0.049453972996125445
2022-11-09,0.00423542051343247
2022-11-10,-0.005794104432217284
2022-11-11,-0.016612142287258713
2022-11-12,-0.5250664495077413
2022-11-13,0.7094625062290558
2022-11-14,-0.007450473223223862
2022-11-15,-0.007316931424835348
2022-11-16,0.02144118623195882
2022-11-17,0.00933152914000199
2022-11-18,0.007279115046140436
2022-11-19,0.0437340162534471
2022-11-20,0.5312143973288145
2022-11-21,-0.019033128453783642
2022-11-22,-0.003914641132846203
2022-11-23,-0.010307718080314297
2022-11-24,-0.04827139056678493
2022-11-25,-0.05673310689945082
2022-11-26,-0.24641804921668925
2022-11-27,0.45219737665316667
2022-11-28,-0.013525369028314171
2022-11-29,-0.0046433015061628485
2022-11-30,-0.0035831206457762922
2022-12-01,-0.012324474441674596
2022-12-02,-0.011486206214223103
2022-12-03,0.20575383522768675
2022-12-04,0.6331780871984667
2022-12-05,-0.0022371096733819814
2022-12-06,-0.02380511023093098
2022-12-07,-0.0240646075952005
2022-12-08,-0.008082798576224721
2022-12-09,-0.010564148179986597
2022-12-10,0.08374261496487628
2022-12-11,0.48565226076159673
2022-12-12,0.013922330994710711
2022-12-13,0.02326253608635282
2022-12-14,-0.026718339185937807
2022-12-15,-0.007960122017862715
2022-12-16,-0.031231525746942518
